"allergen_code","allergy_category_code","id","allergen_fsn","allergy_category_fsn","preferred_term_en","preferred_term_pt","synonym_1","synonym_2"
"1268860002","115668003","312","Juglans nigra pollen (substance)","Biological substance (substance)","Juglans nigra pollen","Pólen de Juglans nigra","Pólen de nogueira-americana","Pólen de nogueira-preta"
"1264473004","115668003","313","Juglans regia pollen (substance)","Biological substance (substance)","Juglans regia pollen","Pólen de Juglans regia","Pólen de nogueira-comum","Pólen de nogueira"
"1268335009","115668003","314","Juniperus virginiana pollen (substance)","Biological substance (substance)","Juniperus virginiana pollen","Pólen de Juniperus virginiana","Pólen de zimbro-da-virgínia"," "
"256286004","115668003","315","Kentucky blue grass pollen (substance)","Biological substance (substance)","Kentucky blue grass pollen","Pólen de cabelo-de-cão-de-colmo-liso","Pólen de erva-de-febra"," "
"31006001","0","316","Kingdom Plantae (organism)"," ","Kingdom Plantae ","Fetos","Fetos"," "
"260176001","762766007","317","Kiwi fruit (substance)","Edible substance (substance)","Kiwi fruit","Fruta Kiwi","Kiwi"," "
"47703008","115668003","318","Lactose (substance)","Biological substance (substance)","Lactose","Lactose"," "," "
"226942002","762766007","319","Lamb - meat (substance)","Edible substance (substance)","Lamb - meat","Carne de cordeiro","Cordeiro","Borrego"
"42416001","115668003","320","Lanolin (substance)","Biological substance (substance)","Lanolin ","Lanolina"," "," "
"111088007","115668003","321","Latex (substance)","Biological substance (substance)","Latex","Látex"," "," "
"726755004","762766007","322","Leek (substance)","Edible substance (substance)","Leek","Alho-francês"," "," "
"735340006","762766007","323","Lemon (substance)","Edible substance (substance)","Lemon","Limão"," "," "
"710894003","115668003","324","Lenscale pollen (substance)","Biological substance (substance)","Lenscale pollen","Pólen de erva-sal","Pólen de Atriplex lentiformis"," "
"227350006","762766007","325","Lentils (substance)","Edible substance (substance)","Lentils","Lentilhas"," "," "
"711097000","115668003","326","Lepidoglyphus destructor protein (substance)","Biological substance (substance)","Lepidoglyphus destructor protein","Proteína de Lepidoglyphus destructor","Proteína de acáro dos produtos armazenados"," "
"735042006","762766007","327","Lettuce (substance)","Edible substance (substance)","Lettuce","Alface"," "," "
"472739002","115668003","328","Ligustrum pollen (substance)","Biological substance (substance)","Ligustrum pollen","Pólen de Ligustrum","Pólen de alfeneiro"," "
"412056003","762766007","329","Lima beans (substance)","Edible substance (substance)","Lima beans","Feijão-de-lima"," "," "
"227430006","762766007","330","Lime (substance)","Edible substance (substance)","Lime","Lima"," "," "
